ID,Author,Authsex,Bibliography,Comment,Conglomerate,Date,Dateorig,Genre,Lang,Medium,Name,Origlang,Subtype,Translation,Type,Dateorig_upraveny
2012-09-08-o-1,Ľudo Ondrejov,msc,"Ondrejov, Ľudo: Horami Sumatry. Martin: Matica slovenská 1936. 97 s.",,Ľudo Ondrejov - Horami Sumatry,1936,1936,nov,slk,lib,Horami Sumatry,YYY,pro,org,img,1936
2012-09-13-q-1,Peter Suchanský,msc,"Suchanský, Peter: Zlaté mesto v pralesoch. Bratislava: Učiteľské nakladateľstvo slovenské „U NÁS” 1934.",,Peter Suchanský - Zlaté mesto v pralesoch,1934,1934,col,slk,lib,Zlaté mesto v pralesoch,YYY,pro,org,img,1934
2012-09-15-g-1,Alexander Vaško,msc,"Vaško, Alexander: Spútané more. Trnava: Spolok sv. Vojtecha 1947. 216 s.",,Alexander Vaško - Spútané more,1947,1947,nov,slk,lib,Spútané more,YYY,pro,org,img,1947
2012-09-15-i-1,Jozef Váh,msc,"Váh, Jozef: Jánošík na Tematíne. Bratislava: Štátne nakladateľstvo 1949. 52 s.",,Jozef Váh - Jánošík na Tematíne,1949,1949,col,slk,lib,Jánošík na Tematíne,YYY,pro,org,img,1949
2012-09-15-j-1,Gejza Vámoš,msc,"Vámoš, Gejza: Atómy Boha 1. Bratislava, Praha, Bratislava: Leopold Mazáč, Sväz slovenského študentstva 1936. 254 s.","Edícia mladých slovenských autorov, sv. 16",Gejza Vámoš - Atómy Boha 1,1936,1928,nov,slk,lib,Atómy Boha 1,YYY,pro,org,img,1928
2012-09-15-j-2,Gejza Vámoš,msc,"Vámoš, Gejza: Atómy Boha 2. Praha, Bratislava: Leopold Mazáč, Sväz Slovenského Študentstva 1936. 250 s.","Edícia mladých slovenských autorov, sv. 17",Gejza Vámoš - Atómy Boha 2,1936,1928,nov,slk,lib,Atómy Boha 2,YYY,pro,org,img,1928
2012-09-15-k-1,Gejza Vámoš,msc,"Vámoš, Gejza: Editino očko. Bratislava, Praha: Sväz Slovenského Študentstva, Leopold Mazáč 1925. 253 s.",súbor noviel; 1. zväzok Edície mladých slovenských autorov,Gejza Vámoš - Editino očko,1925,1925,col,slk,lib,Editino očko,YYY,pro,org,img,1925
2013-06-03-a-1,Anton Hykisch,msc,"Hykisch, Anton: Krok do neznáma. Bratislava: Slovenský spisovateľ 1963. 258 s.",,Anton Hykisch - Krok do neznáma,1963,1959,nov,slk,lib,Krok do neznáma,YYY,pro,org,img,1959
2013-07-31-g-1,Jožo Nižnánsky,msc,"Nižnánsky, Jožo: Spišské tajomstvo. Bratislava: Tatran 1968. 352 s.",,Jožo Nižnánsky - Spišské tajomstvo,1968,1934,nov,slk,lib,Spišské tajomstvo,YYY,pro,org,img,1934
2013-10-01-l-1,Jožo Nižnánsky,msc,"Nižnánsky, Jožo: Dobrodružstvá Mórica Beňovského. Bratislava: Ikar 2000. 586 s.",,Jožo Nižnánsky - Dobrodružstvá Mórica Beňovského,2000,1933,nov,slk,lib,Dobrodružstvá Mórica Beňovského,YYY,pro,org,img,1933
2014-03-11-f-1,Jožo Nižnánsky,msc,"Nižnánsky, Jožo: Krásna Hedviga. Bratislava: Tatran 1969. 230 s.",,Jožo Nižnánsky - Krásna Hedviga,1969,1935,nov,slk,lib,Krásna Hedviga,YYY,pro,org,img,1935
2014-04-30-m-1,Ľudo Ondrejov,msc,"Ondrejov, Ľudo: Šibeničné pole. Bratislava: Slovenský spisovateľ 1982. 188 s.",,Ľudo Ondrejov - Šibeničné pole,1982,1958,col,slk,lib,Šibeničné pole,YYY,pro,org,img,1958
2014-05-08-f-1,Ľudo Ondrejov,msc,"Ondrejov, Ľudo: Rozprávky z hôr. Bratislava: Mladé letá 1963. 74 s.",,Ľudo Ondrejov - Rozprávky z hôr,1963,1932,col,slk,lib,Rozprávky z hôr,YYY,pro,org,img,1932
2014-06-03-e-1,Rudo Moric,msc,"Moric, Rudo: Explózia. Bratislava: Mladé letá 1963. 146 s.",,Rudo Moric - Explózia,1963,1951,nov,slk,lib,Explózia,YYY,pro,org,img,1951
2014-09-02-d-1,Viera Handzová,fem,"Handzová, Viera: Človečina. Bratislava: Slovenský spisovateľ 1960. 148 s.",,Viera Handzová - Človečina,1960,1960,col,slk,lib,Človečina,YYY,pro,org,img,1960
2014-09-03-b-1,Viera Handzová,fem,"Handzová, Viera: Madlenka. Bratislava: Slovenský spisovateľ 1984. 268 s.",,Viera Handzová - Madlenka,1984,1957,col,slk,lib,Madlenka,YYY,pro,org,img,1957
2014-10-07-b-1,Mária Jančová,fem,"Jančová, Mária: Rozprávky starej matere. Bratislava: Mladé letá 1972. 71 s.",,Mária Jančová - Rozprávky starej matere,1972,1953,col,slk,lib,Rozprávky starej matere,YYY,pro,org,img,1953
2014-11-24-e-1,Dominik Tatarka,msc,"Tatarka, Dominik: Panna zázračnica. Bratislava: Slovenský spisovateľ 1964. 132 s.",,Dominik Tatarka - Panna zázračnica,1964,1944,col,slk,lib,Panna zázračnica,YYY,pro,org,img,1944
