date;bib;code;x
2024-03-04-y-1;Plávka, Andrej: Návrat Petra Hugáňa. Bratislava: Tatran 1949. 168 s.;    0;   
2024-03-05-b-1;Puritán: Z našich mlynov. Humoresky. Ružomberok: Ján Párička 1915. 102 s.;    0;   
2024-03-05-g-1;Rozmarín, Marek: Povesť o Turovi. Turč. Sv. Martin: Tlačou a nákladom kníhtlačiarsko-účastinárskeho spolku 1899. 24 s.;    0;   
2024-03-05-h-1;Chvojnický, Franko: Smejme sa! Sbierka vtipov, žartov, smiechot a hádanok. T. S. Martin: Kníhtlačiarsko-účastinársky spolok 1870. 48 s.;    0;   
2024-03-05-j-1;Somolický: Striga a Doviedol somára miesto kravy. Dve rozprávky zo života. Turčiansky Sv. Martin: J. Gašparík 1918. 20 s.;    0;   
2024-03-05-l-1;Stodola, Kornel: Zo Španielska. Zápisky cestovateľa. Turčiansky Sv. Martin: Kníhtlačiarsky Sv. Martin 1914. 68 s.;    0;   
2024-03-05-m-1;Timrava: Márnosť všetko. Turčiansky Sv. Martin: Nákladom Kníhtlačiarskeho účastinárskeho spolku 1908. 63 s.;    0;   
2024-03-05-p-1;Hurban Vajanský, Svetozár: Mier duše. Turčiansky Sv. Martin: Tlačou a nákladom Kníhtlačiarskeho účast. spolku 1907. 74 s.;    0;   
2024-03-05-q-1;Vansová, Terézia: Danko a Janko. Dobrodružstvá malých hrdinov. Turčiansky Sv. Martin: Tlačou Neografie 1943. 132 s.;    0;   
2024-03-05-r-1;Vinohradský, H.: Priekopy smrti. Bratislava: Vydáva Hlavná správa osvety a výchovy MNO 1945. 15 s.;    0;   
2024-03-18-a-1;Gregor-Tajovský, Jozef:  Tŕpky. Ružomberok: Ján Párička 1911. 103 s.;    0;   
2024-03-18-b-1;Jesenský, Janko: Malomestské rozprávky. Ružomberok: Ján Párička 1913. 102 s.;    0;   
2024-04-08-b-1;Kukučín, Martin: Dies irae. Turčiansky sv. Martin: Vydanie kníhkupecko-nakladateľského spolku 1893. 99 s.;    0;   
2024-04-08-c-1;Tatarka, Dominik: Radostník. Bratislava: Slovenský spisovateľ 1954. 232 s.;    3;   
2024-05-03-e-1;Cíger Hronský, Jozef: Jozef Mak. Turčiansky Sv. Martin: Matica slovenská 1933. 367 s.;    0;   
2024-05-22-a-1;Horváth, Ivan: Človek na ulici. Praha: Sväz slovenského študentstva v Bratislave, nákladom Leopolda Mazáča 1928. 200 s.;    0;   
2024-05-22-b-1;Mináč, Vladimír: Smrť chodí po horách. Bratislava: Tatran 1950. 182 s.;    0;   
2024-06-12-a-1;Bodenek, Ján: Ivkova biela mať. Ivkova biela mať. Turčiansky Sv. Martin: Matica slovenská 1938. 211 s.;    0;   
2024-06-12-c-1;Kukučin, Martin: Neprebudený. In: Sobrané Spisy Martina Kukučina. Sväzok I. Turčiansky Sv. Martin: Nákladom Kníhtlačiarskeho účastinárskeho spolku 1910. 84 s.;    0;   
2024-06-12-d-1;Tatarka, Dominik: Prvý a druhý úder. Bratislava: Pravda 1950. 324 s.;    0;   
2024-06-12-e-1;Vansová, Terézia: Sirota Podhradských. Ružomberok: Tlačou a nákladom Karola Salvu 1889. 293 s.;    0;   
2024-06-27-a-1;Barč-Ivan, Július: Husličky z javora. Bratislava: Slovenský spisovateľ 1957. 196 s.;    3;   
2024-07-03-c-1;Hečko, František: Drevená dedina. Bratislava: Slovenský spisovateľ 1955. 588 s.;    3;   
2024-07-30-c-1;Jilemnický, Peter: Víťazný pád. Praha: L. Mazáč 1929. 202 s.;    0;   
