Author,Name,Bibliography
,"Bolo raz. Jack, vražditel oborov","Bolo raz. Jack, vražditel oborov. Bratislava: Nakladateľstvo slovenskej ľudovej literatúry Ladislav Bleier 1921. 36 s."
"Lazarová, Katarína",Traja s neba,"Lazarová, Katarína: Traja s neba. Turčiansky Sv. Martin: Matica slovenská 1950. 171 s."
"Mačingová, Božena",Plechové srdiečka,"Mačingová, Božena: Plechové srdiečka. Bratislava: Slovenské nakladateľstvo detskej knihy 1953. 365 s."
"Natšin, Ján",Život včiel,"Natšin, Ján: Život včiel. Zábavno-poučná rozprávka pre mladých a starých. Liptovský svätý Mikuláš: Tranoscius 1943. 95 s."
"Plávka, Andrej",Návrat Petra Hugáňa,"Plávka, Andrej: Návrat Petra Hugáňa. Bratislava: Tatran 1949. 168 s."
Puritán,Z našich mlynov,Puritán: Z našich mlynov. Humoresky. Ružomberok: Ján Párička 1915. 102 s.
"Rozmarín, Marek",Povesť o Turovi,"Rozmarín, Marek: Povesť o Turovi. Turč. Sv. Martin: Tlačou a nákladom kníhtlačiarsko-účastinárskeho spolku 1899. 24 s."
"Chvojnický, Franko","Smejme sa! Sbierka vtipov, žartov, smiechot a hádanok","Chvojnický, Franko: Smejme sa! Sbierka vtipov, žartov, smiechot a hádanok. T. S. Martin: Kníhtlačiarsko-účastinársky spolok 1870. 48 s."
Somolický,Striga a Doviedol somára miesto kravy,Somolický: Striga a Doviedol somára miesto kravy. Dve rozprávky zo života. Turčiansky Sv. Martin: J. Gašparík 1918. 20 s.
"Stodola, Kornel",Zo Španielska,"Stodola, Kornel: Zo Španielska. Zápisky cestovateľa. Turčiansky Sv. Martin: Kníhtlačiarsky Sv. Martin 1914. 68 s."
Timrava,Márnosť všetko,Timrava: Márnosť všetko. Turčiansky Sv. Martin: Nákladom Kníhtlačiarskeho účastinárskeho spolku 1908. 63 s.
"Hurban Vajanský, Svetozár",Mier duše,"Hurban Vajanský, Svetozár: Mier duše. Turčiansky Sv. Martin: Tlačou a nákladom Kníhtlačiarskeho účast. spolku 1907. 74 s."
"Vansová, Terézia",Danko a Janko,"Vansová, Terézia: Danko a Janko. Dobrodružstvá malých hrdinov. Turčiansky Sv. Martin: Tlačou Neografie 1943. 132 s."
"Vinohradský, H.",Priekopy smrti,"Vinohradský, H.: Priekopy smrti. Bratislava: Vydáva Hlavná správa osvety a výchovy MNO 1945. 15 s."
"Gregor-Tajovský, Jozef",Tŕpky,"Gregor-Tajovský, Jozef:  Tŕpky. Ružomberok: Ján Párička 1911. 103 s."
"Jesenský, Janko",Malomestské rozprávky,"Jesenský, Janko: Malomestské rozprávky. Ružomberok: Ján Párička 1913. 102 s."
"Kukučín, Martin",Dies irae,"Kukučín, Martin: Dies irae. Turčiansky sv. Martin: Vydanie kníhkupecko-nakladateľského spolku 1893. 99 s."
"Tatarka, Dominik",Radostník,"Tatarka, Dominik: Radostník. Bratislava: Slovenský spisovateľ 1954. 232 s."
"Cíger Hronský, Jozef",Jozef Mak,"Cíger Hronský, Jozef: Jozef Mak. Turčiansky Sv. Martin: Matica slovenská 1933. 367 s."
"Horváth, Ivan",Človek na ulici,"Horváth, Ivan: Človek na ulici. Praha: Sväz slovenského študentstva v Bratislave, nákladom Leopolda Mazáča 1928. 200 s."
"Mináč, Vladimír",Smrť chodí po horách,"Mináč, Vladimír: Smrť chodí po horách. Bratislava: Tatran 1950. 182 s."
"Bodenek, Ján",Ivkova biela mať,"Bodenek, Ján: Ivkova biela mať. Ivkova biela mať. Turčiansky Sv. Martin: Matica slovenská 1938. 211 s."
"Kukučin, Martin",Neprebudený,"Kukučin, Martin: Neprebudený. In: Sobrané Spisy Martina Kukučina. Sväzok I. Turčiansky Sv. Martin: Nákladom Kníhtlačiarskeho účastinárskeho spolku 1910. 84 s."
"Tatarka, Dominik",Prvý a druhý úder,"Tatarka, Dominik: Prvý a druhý úder. Bratislava: Pravda 1950. 324 s."
"Vansová, Terézia",Sirota Podhradských,"Vansová, Terézia: Sirota Podhradských. Ružomberok: Tlačou a nákladom Karola Salvu 1889. 293 s."
"Barč-Ivan, Július",Husličky z javora,"Barč-Ivan, Július: Husličky z javora. Bratislava: Slovenský spisovateľ 1957. 196 s."
"Hečko, František",Drevená dedina,"Hečko, František: Drevená dedina. Bratislava: Slovenský spisovateľ 1955. 588 s."
"Jilemnický, Peter",Víťazný pád,"Jilemnický, Peter: Víťazný pád. Praha: L. Mazáč 1929. 202 s."
